,Characteristic Name[CHANM],Characteristic Value[CHAVL],Target Hierarchy Name[TGT_HRY_HIENM],Target Hierarchy Node Name[TGT_HRY_NODENAME],Target Hierarchy Node Object Name[TGT_HRY_NODEOBJNM],Requestor Comment[REQUESTOR_CMT],Date in Format YYYY-MM-DD[VALID_FROM]
0,FAAKOSTL,ORAERP_MMOR1975.9424,GCOH,L000011353,0HIER_NODE,FR8846529,20260917
1,FAAKOSTL,PHOENX_01010000683000,GCOH,L000011344,0HIER_NODE,FR8846529,20260917
2,FAAKOSTL,NOW_7210   0000056419,GCOH,L000011353,0HIER_NODE,FR8846529,20260917
3,FAAKOSTL,PHOENX_01010000697781,GCOH,L000011344,0HIER_NODE,FR8846529,20260917
4,FAAKOSTL,NOW_7210   0000020761,GCOH,L000014145,0HIER_NODE,FR8846529,20260917
5,FAAKOSTL,ORAERP_MMOR1975.9506,GCOH,L000014145,0HIER_NODE,FR8846529,20260917
6,FAAKOSTL,PHOENX_01010000697005,GCOH,L000014145,0HIER_NODE,FR8846529,20260917
7,FAAKOSTL,NOW_7210   0000010413,GCOH,L000013683,0HIER_NODE,FR8846529,20260917
8,FAAKOSTL,SCALA_1025 CON2,GCOH,L000013683,0HIER_NODE,FR8846529,20260917
9,FAAKOSTL,NOW_7210   0000052353,GCOH,L000011242,0HIER_NODE,FR8846529,20260917
10,FAAKOSTL,NOW_7210   0000058227,GCOH,L000011242,0HIER_NODE,FR8846529,20260917
11,FAAKOSTL,EMERAL_64010010991303,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
12,FAAKOSTL,EMERAL_70006112OTZ010,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
13,FAAKOSTL,EMERAL_700063029905PC,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
14,FAAKOSTL,FLTFLE_1059C000,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
15,FAAKOSTL,FLTFLE_1059C01000,GCOH,L000011158,0HIER_NODE,FR8846529,20260917
16,FAAKOSTL,FLTFLE_1059C01002,GCOH,L000011158,0HIER_NODE,FR8846529,20260917
17,FAAKOSTL,FLTFLE_1059C01004,GCOH,L000011158,0HIER_NODE,FR8846529,20260917
18,FAAKOSTL,FLTFLE_1059C01006,GCOH,L000011158,0HIER_NODE,FR8846529,20260917
19,FAAKOSTL,FLTFLE_1059C01007,GCOH,L000011158,0HIER_NODE,FR8846529,20260917
20,FAAKOSTL,FLTFLE_1059C030,GCOH,L000011158,0HIER_NODE,FR8846529,20260917
21,FAAKOSTL,FLTFLE_1059C040,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
22,FAAKOSTL,FLTFLE_1059C050,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
23,FAAKOSTL,FLTFLE_1059C060,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
24,FAAKOSTL,FLTFLE_1798A20,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
25,FAAKOSTL,FLTFLE_1798A21,GCOH,L000011191,0HIER_NODE,FR8846529,20260917
26,FAAKOSTL,NOW_7210   0000000135,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
27,FAAKOSTL,NOW_7210   0000001008,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
28,FAAKOSTL,NOW_7210   0000006008,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
29,FAAKOSTL,NOW_7210   0000008028,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
30,FAAKOSTL,NOW_7210   0000008068,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
31,FAAKOSTL,NOW_7210   0000009018,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
32,FAAKOSTL,NOW_7210   0000010158,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
33,FAAKOSTL,NOW_7210   0000010248,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
34,FAAKOSTL,NOW_7210   0000010321,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
35,FAAKOSTL,NOW_7210   0000010440,GCOH,L000013890,0HIER_NODE,FR8846529,20260917
36,FAAKOSTL,NOW_7210   0000020025,GCOH,L000013889,0HIER_NODE,FR8846529,20260917
